Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,biaoqian,class
ABL1,25.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,1.0,160.0,16.0,0.0,0.0,99.0,3.0,0.0,17.0,3.0,0.0,299.0,0.0,242,11.07108251809035,0.4516851409462789,18.947370688212413,7.7279204545632,-0.018357472,0.024898643,0.04647865,0.010449998,-0.10911096,0.031004455,0.145104696,0.006650564,9.0,133589268.0,133763060.0,505505.7,211.0,2.426606e-06,0.4654867,0.02867805,8.0,49.08108,91.27027,0.8753249,111.6492,13.1082,53.9179,0.001863735,180.0,1.81,1,1
AKT1,0.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,124.0,2.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,158,11.901389904369957,0.3094737198473657,19.44105808731403,7.954196310386875,-0.01604805,0.031938437,0.052286148,0.017221581,-0.117894985,0.036542855,0.09060703,0.000982732,14.0,105235689.0,105262080.0,711772.2,247.0,2.715661e-06,0.60383,0.03599851,12.0,40.51351,80.45945999999999,0.8555161,71.94426,2.514754,61.99387,0.002771845,253.0,3.5,1,1
ALK,0.0,19.0,0.0,0.0,12.0,3.0,2.0,0.0,6.0,358.0,25.0,0.0,0.0,176.0,10.0,0.0,14.0,4.0,0.0,593.0,0.0,443,2.7592242437404813,5.601346626835951,17.6254191906772,9.786269627648467,0.02325528,0.014714645,0.052760005,0.012351356,-0.056865532,0.012350625,0.145018186,0.040757847,2.0,29415641.0,30144432.0,202198.4,882.0,2.5622710000000003e-06,0.429635,0.01878041,9.0,51.48649,93.97297,0.8414963,117.6033,13.40984,53.27906,0.000155371,62.0,2.23728813559322,1,1
ARAF,0.0,7.0,0.0,0.0,21.0,1.0,1.0,0.0,0.0,110.0,7.0,0.0,0.0,38.0,3.0,0.0,22.0,1.0,0.0,165.0,0.0,159,10.340668561744726,0.3118963606610297,19.56423733305053,8.594903589110126,0.0029176,0.013779471,0.023430929,0.010637551,-0.063676976,0.018181428,0.28682916,0.035087619,23.0,47420516.0,47431319.0,775214.2,443.4357224118317,2.733144e-06,0.47047,0.03801457,16.0,28.05405,60.0,0.9316594,36.09508,0.4,58.62421,0.000282272,80.0,3.102564102564102,0,1
ATM,0.0,13.0,0.0,0.0,75.0,21.0,8.0,0.0,6.0,553.0,107.0,1.0,0.0,118.0,37.0,0.0,86.0,21.0,0.0,832.0,0.0,635,9.812150525662606,0.8085489074570414,18.665663115450307,9.187352073200495,-0.031743772,0.0324447229999999,0.040505476,0.010243551,-0.14058605,0.046182755,0.134311695,0.00162483,11.0,108093559.0,108239826.0,415837.3,582.0,2.489696e-06,0.3894167,0.01619721,10.0,44.86486,94.13514,0.8988393,129.0492,15.40656,35.17429,0.001447922,135.0,6.033613445378151,1,1
BRAF,0.0,9.0,0.0,0.0,7.0,1.0,7.0,0.0,0.0,837.0,17.0,0.0,0.0,44.0,7.0,0.0,15.0,2.0,0.0,912.0,0.0,797,7.1511509568107865,0.6456797975221066,18.219356201577583,9.269126679149418,0.055483073,0.03476184,0.09798444,0.031567186,-0.07273199,0.02251437,0.332247826,0.005149957,7.0,140433815.0,140624564.0,305190.7,616.0,3.162551e-06,0.40297,0.02459647,10.0,48.67568,93.32432,0.8873112,134.6033,15.04262,38.43735,4.78e-05,42.0,19.155555555555555,1,1
BRCA1,5.0,1.0,0.0,1.0,19.0,8.0,2.0,0.0,2.0,244.0,39.0,0.0,0.0,62.0,9.0,1.0,21.0,9.0,0.0,363.0,0.0,314,8.200344679975881,1.5622601154133748,20.48367999873901,7.658211482751795,-0.0024378137,0.02484179,0.053351436,0.011905657,-0.09858228,0.03253014,2.628634602,0.106627125,17.0,41196313.0,41277500.0,1466229.0,201.0,2.172463e-06,0.46607,0.02652095,38.0,58.97297,98.67568,0.9199338,169.882,30.209840000000003,39.3769,0.011628643,560.0,4.761904761904762,1,1
BRCA2,0.0,6.0,0.0,3.0,50.0,25.0,4.0,0.0,1.0,554.0,72.0,0.0,0.0,115.0,8.0,0.0,54.0,25.0,0.0,759.0,0.0,515,6.5351253311284925,2.9345554137837326,17.755650444743303,8.854868383260236,-0.033364106,0.042727545,0.053478934,0.01960151,-0.14494678,0.050303634,0.867041903,0.0268838,13.0,32889617.0,32973809.0,221300.0,462.0,2.481931e-06,0.394025,0.04401204,5.0,50.13514,97.48649,0.9404518,113.8426,10.00328,34.61398,0.0003139679999999,67.0,5.681034482758621,1,1
CDK4,0.0,8.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,58.0,2.0,0.0,0.0,18.0,0.0,0.0,4.0,2.0,0.0,87.0,0.0,80,11.44164311568854,0.6562086329250704,20.146750134777488,8.430452551665532,0.04389504,0.06937762,0.08832624,0.08941204,-0.05320592,0.011855687,0.290734886,0.004255677,12.0,58142005.0,58146164.0,1160849.0,344.0,2.386428e-06,0.46755,0.03909095,39.0,56.10811,98.7027,0.9091528,169.3148,26.49508,50.919,0.001104291,138.0,3.263157894736842,0,1
CDKN2A,3.0,27.0,1.0,1.0,55.0,19.0,15.0,1.0,0.0,174.0,150.0,0.0,0.0,31.0,36.0,0.0,75.0,23.0,0.0,415.0,0.0,443,6.681498285286242,2.68894983812042,17.782163192812593,8.483815777264255,-0.13693155,0.25531632,0.04049112,0.011707412,-0.34221733,0.45863917,0.499665852,0.078922908,9.0,21967752.0,21994490.0,225404.5,357.0,2.759957e-06,0.39023,-0.01478296,20.0,25.94595,53.35135,0.9382202,104.5311,15.19016,60.59624,0.0009592489999999,141.0,11.875,1,1
