Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,label,class
PARP1,0,12,0,11,8,6,2,0,3,145,4,0,0,80,3,0,11,6,0,257,0,209,6.681498285,2.688949838,19.61898084,8.6794801,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.110599546,0.003080655,1,226548393,226595801,805195.2,409,2.35E-06,0.42923,0.009338636,14,53.32432,97.27027,0.8724323,144.4721,20.90164,50.38273,0.002283731,213,1.950617284,0,1
RXRA,37,9,0,0,4,2,2,0,0,102,9,0,0,48,3,0,7,2,0,207,0,172,6.681498285,2.688949838,18.19491168,8.209453366,-0.018668495,0.025566213,0.047095932,0.010381241,-0.11014555,0.0323061,0.12407778,0.0009942,9,137218316,137332431,300063.2,295,3.08E-06,0.598355,0.04230504,12,42.72973,80.18919,0.7963405,109.6918,10.29508,63.0407,0.00058959,109,2.367346939,0,1
COLCA2,0,4,0,8,0,0,0,0,0,14,2,0,0,3,0,0,0,0,0,31,0,27,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,4,0,0
ENTPD4,0,9,0,7,3,1,0,0,0,83,9,0,0,45,1,1,3,1,0,155,0,132,6.681498285,2.688949838,18.86357318,8.379378367,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,8,23289572,23315244,476980.3,332,2.70E-06,0.47206,0.03701209,17,49.62162,95.54054,0.888292,114,11.27869,44.36657,2.10E-07,2,2.043478261,0,0
SLC17A3,0,8,0,3,5,0,0,0,4,131,22,0,0,47,11,0,6,0,0,225,0,183,6.681498285,2.688949838,18.26004156,9.396604781,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.900373294,0.010071126,6,25845330,25874471,313919.9,673,2.92E-06,0.38226,0.02985708,8,49.05405,97.40541,0.914648,96.69836,6.567213,40.91742,0.000152065,24.91374182,3.416666667,0,0
CRHR1-IT1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,6,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,0,0,0
ME1,0,21,0,2,2,1,2,0,0,131,7,0,0,45,3,0,4,1,0,209,0,175,6.681498285,2.688949838,17.40555451,9.475733431,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.419993531,0.061007657,6,83920112,84140938,173616.7,711,3.54E-06,0.3729,-0.01291453,5,43.32432,91.24324,0.7566514,107.7377,11.45574,36.96934,7.16E-06,20,3.086956522,0,0
HSPB7,0,11,8,9,1,0,0,0,1,24,2,0,0,14,0,0,2,0,0,68,0,64,6.681498285,2.688949838,19.75714549,7.62935662,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,1,16340523,16345285,886120.8,197,2.36E-06,0.51295,0.04297886,24,43.59459,79.51351,0.9051323,94.91803,11.06557,62.43027,1.32E-05,11,1.733333333,0,0
HCRTR2,0,7,0,24,3,2,0,0,1,180,15,1,0,66,7,0,3,2,0,301,0,259,6.681498285,2.688949838,14.75692112,9.403012024,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.161736656,0.027110939,6,55039071,55147416,27686,676,5.38E-06,0.3525,-0.01276483,4,47.72973,96.35135,0.8839847,123.1213,15.70164,44.91499,0.000152065,24.91374182,3.044776119,0,0
PLEKHB2,0,19,0,0,1,0,0,0,16,55,9,0,0,16,1,0,3,1,0,113,0,99,6.681498285,2.688949838,18.81716355,8.375039431,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.026816728,0.000102233,2,131862420,131907424,461880.6,331,4.98E-06,0.45804,0.01594773,14,46.02703,96.62162,0.8760098,154.9443,24.42623,48.07658,0.000135585,19,3.823529412,0,0
MAPK3,0,4,0,0,1,1,1,0,15,46,2,0,0,35,0,0,3,1,0,101,0,95,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.100511194,0.003058073,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.001069113,148,1.361111111,0,1
MIR557,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,9,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,0,0,0
