Hugo_Symbol,class,pvalue
ABL1,1,0.09792433457411465
AKT1,1,1.0
ALK,1,0.19045716705212845
ARAF,1,0.01727606371043933
ATM,1,0.4527287919836235
BRAF,1,1.0
BRCA1,1,0.1204164707147054
BRCA2,1,0.08268556707517173
CDK4,1,0.012687795732810168
CDKN2A,1,0.18883540859144052
EGFR,1,0.9132071379911433
ERBB2,1,0.6685960625135503
ERCC2,1,0.15939523925406576
ESR1,1,0.052233016863210774
EWSR1,1,0.07330099226974313
FGFR1,1,0.05445589328955926
FGFR2,1,0.013272751357013694
FGFR3,1,0.0002189506190880375
FLT3,1,0.06732409212463637
HRAS,1,0.4771303988088599
IDH1,1,0.7687852569797866
IDH2,1,0.1507885283254088
JAK2,1,0.031069542463575607
KDM6A,1,0.10548992425310738
KIT,1,0.2101886423275315
KRAS,1,1.0
MAP2K1,1,0.056909916815741375
MDM2,1,0.18883540859144052
MET,1,0.1427880053778836
MTOR,1,0.3641174682247638
NF1,1,0.10770616494534418
NRAS,1,0.775238907987186
NTRK1,1,0.029205409989689964
NTRK2,1,0.087412802181848
NTRK3,1,0.046020642190549084
PDGFRA,1,0.08342399607308995
PDGFRB,1,0.07651002010007756
PIK3CA,1,1.0
PTCH1,1,0.06571346417950431
PTEN,1,1.0
RET,1,0.07633829754045672
ROS1,1,0.11562273615596938
SMARCB1,1,0.03966623810239427
TSC1,1,0.03713495736663959
TSC2,1,0.040134717082138574
RP13-395E19.3,0,0.18883540859144052
ADARB1,0,0.18883540859144052
APOC3,0,0.013102158608993357
OR8B12,0,0.0006462805297307875
RP11-427H3.3,0,0.18883540859144052
PAM,0,0.11831608977535968
C1orf21,0,0.005727306590478631
PAPL,0,0.03507733644558165
PTMS,0,0.0016455586701468313
MATN4,0,0.269283095916127
DMRT1,0,0.038135522052626165
GPR149,0,0.010298169161771087
PSMB10,0,0.06962297010758177
MYBL2,0,0.12024091788294
RBM28,0,0.06232609910305632
ZNF833P,0,0.18883540859144052
ETV2,0,0.07050361080164846
TSSC1,0,0.02876676914377815
ABRA,0,0.035370223574361294
C7orf69,0,0.18883540859144052
LILRA4,0,0.020942129842644788
ZNF709,0,0.1741566966542854
ZNF595,0,0.18883540859144052
RHCG,0,0.018691101816390793
RPS26,0,0.01977204343849281
ZEB2,0,0.09359869322194841
BAIAP2L1,0,0.03999800838505542
TRAP1,0,0.038347209031590015
NXPH2,0,0.007305285658705663
FOXF2,0,0.1650993949132687
OR8S1,0,0.06998710290153398
ARPC4-TTLL3,0,0.18883540859144052
KRT78,0,0.034657496707496696
CCL26,0,0.01480980445128773
CCL4L2,0,0.18883540859144052
MIR369,0,0.18883540859144052
INTS4L2,0,0.18883540859144052
COX7B,0,0.006872115188414481
CEACAM1,0,0.01724089050387977
ZNF627,0,0.02987746503663248
RNU6-714P,0,0.18883540859144052
CACNA1E,0,0.2390728141519575
COL11A1,0,0.1171617087808232
DST,0,0.4648282618363624
TTN,0,0.22526976605941676
