gene,transcript,protein_change,score,pvalue,qvalue,info
C9orf131,ENST00000312292,.,.,1.1811102229352168,0.327652999912,"PROT_RANGE=194-203,342-342,453-453,487-489,751-756,891-896,1014-1015;CLUSTER_MUT_COUNT=5,6,2,3,4,4,3"
TDP2,ENST00000378198,.,.,0.271852255624851,0.599316450835,PROT_RANGE=36-39;CLUSTER_MUT_COUNT=3
STARD7,ENST00000337288,.,.,0.3704518554321529,0.560256310028,PROT_RANGE=358-366;CLUSTER_MUT_COUNT=4
PAQR3,ENST00000512733,.,.,0.4567836568977354,0.532930674448,PROT_RANGE=17-20;CLUSTER_MUT_COUNT=3
ZNF790,ENST00000356725,.,.,0.3384489509607062,0.569005380156,"PROT_RANGE=195-199,223-232,239-239;CLUSTER_MUT_COUNT=3,4,2"
ZNF671,ENST00000317398,.,.,0.5688993424616516,0.498435251778,"PROT_RANGE=11-29,37-44,495-496;CLUSTER_MUT_COUNT=7,6,3"
TMEM39A,ENST00000319172,.,.,0.3067661351921914,0.582292273576,PROT_RANGE=299-300;CLUSTER_MUT_COUNT=3
SEC16B,ENST00000308284,.,.,0.5703078452865318,0.497993895219,"PROT_RANGE=22-37,196-196,318-319,378-378,431-433,800-806,892-892;CLUSTER_MUT_COUNT=7,2,3,2,3,4,2"
POLR2I,ENST00000221859,.,.,0.8612602655770324,0.415432724909,PROT_RANGE=7-18;CLUSTER_MUT_COUNT=6
CATSPERG,ENST00000409235,.,.,0.35475778705048966,0.5642373162919999,"PROT_RANGE=491-491,967-967,1134-1139;CLUSTER_MUT_COUNT=2,2,4"
ZBTB44,ENST00000525842,.,.,0.2511943722301519,0.613121846208,PROT_RANGE=336-346;CLUSTER_MUT_COUNT=4
FUCA2,ENST00000002165,.,.,0.26217527587569833,0.604709253782,PROT_RANGE=262-262;CLUSTER_MUT_COUNT=2
SH3BP4,ENST00000409212,.,.,0.23368402217680337,0.622192235019,"PROT_RANGE=243-243,284-284,308-308;CLUSTER_MUT_COUNT=2,2,2"
GAB1,ENST00000262995,.,.,0.2930195046038233,0.590381149356,"PROT_RANGE=15-15,661-661;CLUSTER_MUT_COUNT=2,2"
ZNF836,ENST00000322146,.,.,0.3202112930105402,0.578083550401,"PROT_RANGE=504-505,579-581,626-630;CLUSTER_MUT_COUNT=3,3,3"
LONP1,ENST00000360614,.,.,0.17217643278332442,0.6776700288359999,PROT_RANGE=80-80;CLUSTER_MUT_COUNT=2
ZNF880,ENST00000422689,.,.,0.9026724126867592,0.403085937634,"PROT_RANGE=15-15,80-83,221-226,315-318;CLUSTER_MUT_COUNT=2,4,3,3"
ZNF788,ENST00000596883,.,.,0.2713097061765948,0.599316450835,PROT_RANGE=50-50;CLUSTER_MUT_COUNT=2
CARM1,ENST00000327064,.,.,0.40670834492512914,0.547064898138,"PROT_RANGE=239-239,555-559;CLUSTER_MUT_COUNT=2,3"
CIAPIN1,ENST00000394391,.,.,0.4818092408699974,0.523051269789,PROT_RANGE=144-144;CLUSTER_MUT_COUNT=2
JAKMIP1,ENST00000409021,.,.,0.8078983231447233,0.4343032857450001,"PROT_RANGE=58-64,78-84,262-269,321-321,334-339,421-426,462-475,660-674,740-747;CLUSTER_MUT_COUNT=6,5,5,3,3,4,6,7,5"
TSHZ2,ENST00000371497,.,.,1.5916421716721625,0.227101624662,"PROT_RANGE=37-37,158-158,184-186,193-205,210-222,323-329,443-445,452-453,479-482,527-534,634-638,649-655,671-671,714-727,755-757,816-829,882-887,910-910,946-948,953-958,969-992,1008-1008;CLUSTER_MUT_COUNT=2,2,4,7,10,5,4,3,3,6,5,5,2,7,4,6,4,2,3,5,9,2"
FBXO36,ENST00000283946,.,.,0.7690054389804175,0.444149967756,PROT_RANGE=82-85;CLUSTER_MUT_COUNT=4
TBCB,ENST00000221855,.,.,0.572295955011506,0.496491112878,PROT_RANGE=235-235;CLUSTER_MUT_COUNT=3
