Hugo_Symbol,class,pvalue
ABL1,1,0.10553366609017643
AKT1,1,0.226033700829643
ALK,1,0.02309513172543491
ARAF,1,0.06265778193277641
ATM,1,1.0
BRAF,1,1.0
BRCA1,1,0.4115537279877686
BRCA2,1,0.1742561053043909
CDK4,1,0.3139311604374445
CDKN2A,1,1.0
EGFR,1,1.0
ERBB2,1,0.4901023442440921
ERCC2,1,0.16368119231120518
ESR1,1,0.029515371063043125
EWSR1,1,0.00864473761483475
FGFR1,1,0.001722975183619775
FGFR2,1,0.1514524355850546
FGFR3,1,0.1298342305081612
FLT3,1,0.0112119789914289
HRAS,1,0.3155411014594463
IDH1,1,0.7071971648972242
IDH2,1,0.0113750708141872
JAK2,1,0.08704650295201379
KDM6A,1,1.0
KIT,1,0.3214831507464014
KRAS,1,1.0
MAP2K1,1,0.512113751626007
MDM2,1,0.033977090271952
MET,1,0.012837859742562924
MTOR,1,0.29239181524951635
NF1,1,1.0
NRAS,1,0.3728708325876525
NTRK1,1,0.005853759209965975
NTRK2,1,0.03298032809085849
NTRK3,1,0.04238114858371469
PDGFRA,1,0.0562306318791058
PDGFRB,1,0.0027417082395474876
PIK3CA,1,1.0
PTCH1,1,0.2212897697102905
PTEN,1,1.0
RET,1,0.0330521334130283
ROS1,1,0.0011998725896817625
SMARCB1,1,0.3036821325147628
TSC1,1,0.43685625271001177
TSC2,1,0.30083924162244285
RP13-395E19.3,0,0.2057162356365051
ADARB1,0,0.1753155262662028
APOC3,0,0.005994226152506213
OR8B12,0,0.0006498875881745125
RP11-427H3.3,0,0.2057162356365051
PAM,0,0.051137807680413275
C1orf21,0,0.041827004235709085
PAPL,0,0.037734168159094174
PTMS,0,0.004871629363038488
MATN4,0,0.1231272114268148
DMRT1,0,0.019570984814200238
GPR149,0,0.002354250492042775
PSMB10,0,0.010814330102113112
MYBL2,0,0.04895029353718582
RBM28,0,0.017227612330083013
ZNF833P,0,0.2057162356365051
ETV2,0,0.20447804590367258
TSSC1,0,0.062424134741751625
ABRA,0,0.00171737173090085
C7orf69,0,0.04991513590954854
LILRA4,0,0.0029012484637780623
ZNF709,0,0.036997280708748165
ZNF595,0,0.09047387917439272
RHCG,0,0.022441155397628487
RPS26,0,0.019914612910917163
ZEB2,0,0.037518117171716124
BAIAP2L1,0,0.0433955047464553
TRAP1,0,0.001974042123727975
NXPH2,0,0.02472257628417345
FOXF2,0,0.34073026884204
OR8S1,0,0.0448827064226265
ARPC4-TTLL3,0,0.005031607042462925
KRT78,0,0.03654308455860163
CCL26,0,0.06596579604861047
CCL4L2,0,0.002240983028489225
MIR369,0,0.2057162356365051
INTS4L2,0,0.2057162356365051
COX7B,0,0.0674140741360393
CEACAM1,0,0.030885478831166813
ZNF627,0,0.001941399573720025
RNU6-714P,0,0.2057162356365051
CACNA1E,0,0.021552996159267673
COL11A1,0,0.000785209993695325
DST,0,0.11657429269527195
TTN,0,0.0
