Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,biaoqian,class
ABL1,25.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,1.0,160.0,16.0,0.0,0.0,99.0,3.0,0.0,17.0,3.0,0.0,299.0,0.0,242,11.07108251809035,0.4516851409462789,18.947370688212413,7.7279204545632,-0.018357472,0.024898643,0.04647865,0.010449998,-0.10911096,0.031004455,0.145104696,0.006650564,9.0,133589268.0,133763060.0,505505.7,211.0,2.426606e-06,0.4654867,0.02867805,8.0,49.08108,91.27027,0.8753249,111.6492,13.1082,53.9179,0.001863735,180.0,1.81,1,1
ACVR1,0.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,97.0,2.0,0.0,0.0,26.0,3.0,1.0,2.0,4.0,0.0,151.0,0.0,129,9.6619034503992,0.6850498001156977,16.30761814253878,9.870364719583405,0.0110146785,0.013652635,0.0432819,0.009275913,-0.068216845,0.0155671425,0.72269793,0.127048209,2.0,158592958.0,158732374.0,81110.46,935.0,2.42307e-06,0.3908333,0.001722014,5.0,54.83784,98.86486,0.8704573,113.0131,10.03607,43.75677,0.000640911,68.0,3.851851851851852,0,1
ACVR1B,31.0,10.0,0.0,1.0,8.0,5.0,0.0,0.0,22.0,134.0,25.0,1.0,0.0,28.0,3.0,0.0,12.0,5.0,0.0,251.0,0.0,210,10.184324207565972,0.6517291049446878,18.91200486024989,8.539158811108031,0.018838821,0.017436966,0.05616351,0.0142134,-0.059939437,0.015095993,0.10432967,0.002008902,12.0,52345451.0,52390863.0,493264.5,371.0,2.170649e-06,0.49525,0.02732437,16.0,53.56757,94.05405,0.9026309,126.823,15.07213,50.15462,0.000429588,36.0,5.758620689655173,1,1
ACVR2A,0.0,72.0,0.0,6.0,103.0,6.0,5.0,1.0,0.0,106.0,23.0,0.0,0.0,22.0,8.0,1.0,121.0,11.0,0.0,221.0,0.0,278,8.210399218410519,0.5540516859486937,16.473460650727006,9.894817763307945,0.005199968,0.013665906,0.039861947,0.006745633,-0.07743694,0.020473268,0.133974738,0.002179769,2.0,148602570.0,148688392.0,90991.54,951.0,2.797524e-06,0.37016,-0.001911835,2.0,45.37838,92.32432,0.9066268,160.6066,23.91475,38.98794,4.89e-05,22.0,6.260869565217392,0,1
AJUBA,0.0,16.0,0.0,11.0,14.0,9.0,2.0,0.0,11.0,47.0,18.0,0.0,0.0,16.0,3.0,0.0,17.0,10.0,0.0,120.0,0.0,126,6.681498285286242,2.68894983812042,20.243004256695908,7.539158811108031,-0.009950403,0.02693791,0.050426256,0.0147162825,-0.106829524,0.031315953,0.4439186536272007,0.0288399977075919,14.0,23440412.0,23451848.0,1240941.0,185.0,2.08102e-06,0.4738699999999999,0.03786223,14.0,48.51351,77.83784,0.8915257,100.3836,13.557379999999998,53.71187,1.42e-05,22.0,4.529411764705882,0,1
AKT1,0.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,124.0,2.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,158,11.901389904369957,0.3094737198473657,19.44105808731403,7.954196310386875,-0.01604805,0.031938437,0.052286148,0.017221581,-0.117894985,0.036542855,0.09060703,0.000982732,14.0,105235689.0,105262080.0,711772.2,247.0,2.715661e-06,0.60383,0.03599851,12.0,40.51351,80.45945999999999,0.8555161,71.94426,2.514754,61.99387,0.002771845,253.0,3.5,1,1
ALB,0.0,8.0,0.0,10.0,21.0,8.0,5.0,0.0,1.0,185.0,8.0,0.0,0.0,70.0,20.0,0.0,41.0,8.0,0.0,287.0,0.0,256,3.323508287689961,17.608948566944488,18.26857306732437,9.26209484537018,-0.015170381,0.02485055,0.043276116,0.015729183,-0.100653,0.025889717,0.4439186536272007,0.0288399977075919,4.0,74269972.0,74287127.0,315781.8,613.0,2.720068e-06,0.38905,0.0075258719999999,4.0,50.45946,97.16216,0.8968562,106.6951,7.393442999999999,38.16156,0.003297184,165.0,3.112676056338028,0,1
ALK,0.0,19.0,0.0,0.0,12.0,3.0,2.0,0.0,6.0,358.0,25.0,0.0,0.0,176.0,10.0,0.0,14.0,4.0,0.0,593.0,0.0,443,2.7592242437404813,5.601346626835951,17.6254191906772,9.786269627648467,0.02325528,0.014714645,0.052760005,0.012351356,-0.056865532,0.012350625,0.145018186,0.040757847,2.0,29415641.0,30144432.0,202198.4,882.0,2.5622710000000003e-06,0.429635,0.01878041,9.0,51.48649,93.97297,0.8414963,117.6033,13.40984,53.27906,0.000155371,62.0,2.23728813559322,1,1
AMER1,0.0,94.0,0.0,17.0,23.0,9.0,0.0,0.0,0.0,288.0,69.0,0.0,0.0,92.0,2.0,0.0,28.0,12.0,0.0,554.0,0.0,445,6.681498285286242,2.68894983812042,15.821900511138876,8.594903589110126,0.0046247817,0.0112903189999999,0.021723162,0.006481859,-0.05215794,0.023067374,0.4439186536272007,0.0288399977075919,23.0,63404998.0,63425624.0,57924.08,443.4357224118317,4.866927e-06,0.43448,0.002023752,5.0,29.27027,73.27027,0.9759692,76.81639,5.560656,53.94008,4.1e-06,11.0,3.956989247311828,1,1
APC,0.0,27.0,0.0,2.0,194.0,98.0,3.0,1.0,1.0,494.0,521.0,0.0,0.0,115.0,26.0,0.0,197.0,105.0,0.0,1180.0,0.0,889,9.402625965443123,0.990658045966602,17.918885360043515,8.643856189774723,-0.021727912,0.028125314,0.043907076,0.0105154,-0.13100749,0.03833304,1.44145598,0.323746914,5.0,112043218.0,112181935.0,247810.8,399.0,2.396328e-06,0.3856199999999999,0.0275499,4.0,49.62162,96.62162,0.9487281,103.9279,6.013115,38.99682,0.001185918,137.0,9.827586206896552,1,1
