gene,transcript,protein_change,score,pvalue,qvalue,info
ARID1A,ENST00000324856,.,.,8.0,3.5690740740740748e-06,SAMPLES=466;SNV=413;INDEL=111;STRATIFIED_FDR=1.1921052631578947e-07
RB1,ENST00000267163,.,.,8.0,3.5690740740740748e-06,SAMPLES=235;SNV=198;INDEL=60;STRATIFIED_FDR=1.1921052631578947e-07
NFE2L2,ENST00000397062,.,.,8.0,3.5690740740740748e-06,SAMPLES=218;SNV=221;INDEL=8;STRATIFIED_FDR=1.1921052631578947e-07
NSD1,ENST00000439151,.,.,8.0,3.5690740740740748e-06,SAMPLES=251;SNV=269;INDEL=15;STRATIFIED_FDR=1.1921052631578947e-07
KDM6A,ENST00000377967,.,.,8.0,3.5690740740740748e-06,SAMPLES=198;SNV=167;INDEL=47;STRATIFIED_FDR=1.1921052631578947e-07
FOXA1,ENST00000250448,.,.,8.0,3.5690740740740748e-06,SAMPLES=105;SNV=91;INDEL=20;STRATIFIED_FDR=1.1921052631578947e-07
BCOR,ENST00000378444,.,.,8.0,3.5690740740740748e-06,SAMPLES=224;SNV=220;INDEL=16;STRATIFIED_FDR=1.1921052631578947e-07
STK11,ENST00000326873,.,.,8.0,3.5690740740740748e-06,SAMPLES=93;SNV=91;INDEL=14;STRATIFIED_FDR=1.1921052631578947e-07
KMT2D,ENST00000301067,.,.,8.0,3.5690740740740748e-06,SAMPLES=652;SNV=701;INDEL=77;STRATIFIED_FDR=1.1921052631578947e-07
PBRM1,ENST00000394830,.,.,8.0,3.5690740740740748e-06,SAMPLES=251;SNV=206;INDEL=52;STRATIFIED_FDR=1.1921052631578947e-07
CIC,ENST00000575354,.,.,8.0,3.5690740740740748e-06,SAMPLES=214;SNV=213;INDEL=36;STRATIFIED_FDR=1.1921052631578947e-07
ATRX,ENST00000373344,.,.,8.0,3.5690740740740748e-06,SAMPLES=416;SNV=357;INDEL=92;STRATIFIED_FDR=1.1921052631578947e-07
CTNNB1,ENST00000349496,.,.,8.0,3.5690740740740748e-06,SAMPLES=307;SNV=316;INDEL=8;STRATIFIED_FDR=1.1921052631578947e-07
CDKN2A,ENST00000498124,.,.,8.0,3.5690740740740748e-06,SAMPLES=299;SNV=264;INDEL=53;STRATIFIED_FDR=1.1921052631578947e-07
NOTCH1,ENST00000277541,.,.,8.0,3.5690740740740748e-06,SAMPLES=330;SNV=326;INDEL=42;STRATIFIED_FDR=1.1921052631578947e-07
STAG2,ENST00000218089,.,.,8.0,3.5690740740740748e-06,SAMPLES=171;SNV=157;INDEL=24;STRATIFIED_FDR=1.1921052631578947e-07
PIK3R1,ENST00000521381,.,.,8.0,3.5690740740740748e-06,SAMPLES=205;SNV=126;INDEL=99;STRATIFIED_FDR=1.1921052631578947e-07
ATM,ENST00000278616,.,.,8.0,3.5690740740740748e-06,SAMPLES=325;SNV=335;INDEL=26;STRATIFIED_FDR=1.1921052631578947e-07
FBXW7,ENST00000281708,.,.,8.0,3.5690740740740748e-06,SAMPLES=291;SNV=286;INDEL=25;STRATIFIED_FDR=1.1921052631578947e-07
SETD2,ENST00000409792,.,.,8.0,3.5690740740740748e-06,SAMPLES=260;SNV=243;INDEL=34;STRATIFIED_FDR=1.1921052631578947e-07
NF1,ENST00000358273,.,.,8.0,3.5690740740740748e-06,SAMPLES=381;SNV=363;INDEL=68;STRATIFIED_FDR=1.1921052631578947e-07
EGFR,ENST00000275493,.,.,8.0,3.5690740740740748e-06,SAMPLES=299;SNV=319;INDEL=26;STRATIFIED_FDR=1.1921052631578947e-07
CASP8,ENST00000358485,.,.,8.0,3.5690740740740748e-06,SAMPLES=137;SNV=136;INDEL=13;STRATIFIED_FDR=1.1921052631578947e-07
ARID2,ENST00000334344,.,.,8.0,3.5690740740740748e-06,SAMPLES=244;SNV=240;INDEL=36;STRATIFIED_FDR=1.1921052631578947e-07
TP53,ENST00000269305,.,.,8.0,3.5690740740740748e-06,SAMPLES=3012;SNV=2950;INDEL=347;STRATIFIED_FDR=1.1921052631578947e-07
KRAS,ENST00000256078,.,.,8.0,3.5690740740740748e-06,SAMPLES=618;SNV=638;INDEL=2;STRATIFIED_FDR=1.1921052631578947e-07
KMT2C,ENST00000262189,.,.,8.0,3.5690740740740748e-06,SAMPLES=650;SNV=668;INDEL=53;STRATIFIED_FDR=1.1921052631578947e-07
EP300,ENST00000263253,.,.,8.0,3.5690740740740748e-06,SAMPLES=254;SNV=275;INDEL=12;STRATIFIED_FDR=1.1921052631578947e-07
CDH1,ENST00000261769,.,.,8.0,3.5690740740740748e-06,SAMPLES=175;SNV=136;INDEL=44;STRATIFIED_FDR=1.1921052631578947e-07
PIK3CA,ENST00000263967,.,.,8.0,3.5690740740740748e-06,SAMPLES=1041;SNV=1169;INDEL=11;STRATIFIED_FDR=1.1921052631578947e-07
BRAF,ENST00000288602,.,.,8.0,3.5690740740740748e-06,SAMPLES=636;SNV=686;INDEL=6;STRATIFIED_FDR=1.1921052631578947e-07
GATA3,ENST00000379328,.,.,8.0,3.5690740740740748e-06,SAMPLES=145;SNV=105;INDEL=46;STRATIFIED_FDR=1.1921052631578947e-07
NF2,ENST00000338641,.,.,8.0,3.5690740740740748e-06,SAMPLES=78;SNV=71;INDEL=12;STRATIFIED_FDR=1.1921052631578947e-07
APC,ENST00000457016,.,.,8.0,3.5690740740740748e-06,SAMPLES=468;SNV=513;INDEL=77;STRATIFIED_FDR=1.1921052631578947e-07
SMARCA4,ENST00000429416,.,.,8.0,3.5690740740740748e-06,SAMPLES=275;SNV=295;INDEL=3;STRATIFIED_FDR=1.1921052631578947e-07
VHL,ENST00000256474,.,.,8.0,3.5690740740740748e-06,SAMPLES=160;SNV=126;INDEL=44;STRATIFIED_FDR=1.1921052631578947e-07
PTEN,ENST00000371953,.,.,8.0,3.5690740740740748e-06,SAMPLES=537;SNV=503;INDEL=144;STRATIFIED_FDR=1.1921052631578947e-07
BAP1,ENST00000460680,.,.,8.0,3.5690740740740748e-06,SAMPLES=153;SNV=141;INDEL=27;STRATIFIED_FDR=1.1921052631578947e-07
RUNX1,ENST00000300305,.,.,7.096910013008056,2.5697333333333336e-05,SAMPLES=74;SNV=64;INDEL=13;STRATIFIED_FDR=9.292307692307693e-07
CREBBP,ENST00000262367,.,.,6.886056647693163,4.041112903225807e-05,SAMPLES=300;SNV=305;INDEL=16;STRATIFIED_FDR=1.47225e-06
PPP2R1A,ENST00000322088,.,.,6.6777807052660805,6.424333333333334e-05,SAMPLES=150;SNV=155;INDEL=3;STRATIFIED_FDR=2.3202439024390244e-06
RNF43,ENST00000584437,.,.,6.522878745280337,9.03421875e-05,SAMPLES=101;SNV=91;INDEL=13;STRATIFIED_FDR=3.2357142857142853e-06
FUBP1,ENST00000370768,.,.,6.3979400086720375,0.0001133705882352,SAMPLES=85;SNV=72;INDEL=16;STRATIFIED_FDR=4.213953488372093e-06
IDH1,ENST00000415913,.,.,5.657577319177793,0.0006057228571428,SAMPLES=498;SNV=500;INDEL=0;STRATIFIED_FDR=2.265e-05
RAC1,ENST00000356142,.,.,5.522878745280337,0.0007920410958904,SAMPLES=52;SNV=52;INDEL=0;STRATIFIED_FDR=3.0200000000000002e-05
AMER1,ENST00000330258,.,.,5.3979400086720375,0.0010417837837837,SAMPLES=196;SNV=196;INDEL=4;STRATIFIED_FDR=3.9391304347826085e-05
TCF12,ENST00000438423,.,.,5.221848749616356,0.00154184,SAMPLES=68;SNV=53;INDEL=16;STRATIFIED_FDR=5.782978723404255e-05
ASXL1,ENST00000375687,.,.,5.154901959985743,0.0017751447368421,SAMPLES=170;SNV=173;INDEL=8;STRATIFIED_FDR=6.606250000000001e-05
MAP2K4,ENST00000353533,.,.,4.3979400086720375,0.0086620224719101,SAMPLES=73;SNV=66;INDEL=9;STRATIFIED_FDR=0.000369795918367347
